WebUrl,ListTitle,ListDescription,ListTemplateId,DefaultContentTypeName,IndexedColumns,OnQuickLaunch,EnableVersioning
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_gasconf,DCTM moc_gasconf documents,101,DCTM moc_gasconf,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_gasinv,DCTM moc_gasinv documents,101,DCTM moc_gasinv,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_gasmktg,DCTM moc_gasmktg documents,101,DCTM moc_gasmktg,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_hankinson,DCTM moc_hankinson documents,101,DCTM moc_hankinson,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_invcemoc,DCTM moc_invcemoc documents,101,DCTM moc_invcemoc,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_invctlstmt,DCTM moc_invctlstmt documents,101,DCTM moc_invctlstmt,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_invenaudit,DCTM moc_invenaudit documents,101,DCTM moc_invenaudit,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_jdecash,DCTM moc_jdecash documents,101,DCTM moc_jdecash,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_jib,DCTM moc_jib documents,101,DCTM moc_jib,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_jibmanual,DCTM moc_jibmanual documents,101,DCTM moc_jibmanual,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_jtintsum,DCTM moc_jtintsum documents,101,DCTM moc_jtintsum,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_lawsuit,DCTM moc_lawsuit documents,101,DCTM moc_lawsuit,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_leases,DCTM moc_leases documents,101,DCTM moc_leases,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_loopfinan,DCTM moc_loopfinan documents,101,DCTM moc_loopfinan,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mclanedft,DCTM moc_mclanedft documents,101,DCTM moc_mclanedft,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mmspayable,DCTM moc_mmspayable documents,101,DCTM moc_mmspayable,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
