WebUrl,ContentTypeName_original,ContentTypeName,ContentTypeParent,Description,Group,IncludedSiteColumns
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_exprvsr91_s,DCTM moc_exprvsr91,DCTM Legacy Document,Documentum Legacy moc_exprvsr91_s document,DCTM Legacy, DCTM Voucher Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_exprvsr93_s,DCTM moc_exprvsr93,DCTM Legacy Document,Documentum Legacy moc_exprvsr93_s document,DCTM Legacy, DCTM Owner Name; DCTM Owner Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_fastfax_s,DCTM moc_fastfax,DCTM Legacy Document,Documentum Legacy moc_fastfax_s document,DCTM Legacy, DCTM Date Run; DCTM Report Type
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_functinfo_s,DCTM moc_functinfo,DCTM Legacy Document,Documentum Legacy moc_functinfo_s document,DCTM Legacy, DCTM Year; DCTM Month
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_fundstmts_s,DCTM moc_fundstmts,DCTM Legacy Document,Documentum Legacy moc_fundstmts_s document,DCTM Legacy, DCTM Month; DCTM Year
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_gabudget_s,DCTM moc_gabudget,DCTM Legacy Document,Documentum Legacy moc_gabudget_s document,DCTM Legacy, DCTM Company; DCTM Year; DCTM Month
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_gasconf_s,DCTM moc_gasconf,DCTM Legacy Document,Documentum Legacy moc_gasconf_s document,DCTM Legacy, DCTM Month; DCTM Year; DCTM Counterparty; DCTM Location Name; DCTM Terminal Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_gasinv_s,DCTM moc_gasinv,DCTM Legacy Document,Documentum Legacy moc_gasinv_s document,DCTM Legacy, DCTM Month; DCTM Year
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_gasmktg_s,DCTM moc_gasmktg,DCTM Legacy Document,Documentum Legacy moc_gasmktg_s document,DCTM Legacy, DCTM Report Name; DCTM Year; DCTM Month; DCTM Day
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_hankinson_s,DCTM moc_hankinson,DCTM Legacy Document,Documentum Legacy moc_hankinson_s document,DCTM Legacy, DCTM Voucher Number; DCTM Document; DCTM Vendor Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_invcemoc_s,DCTM moc_invcemoc,DCTM Legacy Document,Documentum Legacy moc_invcemoc_s document,DCTM Legacy, DCTM Year
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_invctlstmt_s,DCTM moc_invctlstmt,DCTM Legacy Document,Documentum Legacy moc_invctlstmt_s document,DCTM Legacy, DCTM Report Name; DCTM Year 2; DCTM Month2
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_invenaudit_s,DCTM moc_invenaudit,DCTM Legacy Document,Documentum Legacy moc_invenaudit_s document,DCTM Legacy, DCTM Store Number; DCTM Year; DCTM Month
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_jdecash_s,DCTM moc_jdecash,DCTM Legacy Document,Documentum Legacy moc_jdecash_s document,DCTM Legacy, DCTM Year; DCTM Month; DCTM Day
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_jib_s,DCTM moc_jib,DCTM Legacy Document,Documentum Legacy moc_jib_s document,DCTM Legacy, DCTM Report Name; DCTM Month2; DCTM Year 2
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_jibmanual_s,DCTM moc_jibmanual,DCTM Legacy Document,Documentum Legacy moc_jibmanual_s document,DCTM Legacy, DCTM Year; DCTM Month
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_jtintsum_s,DCTM moc_jtintsum,DCTM Legacy Document,Documentum Legacy moc_jtintsum_s document,DCTM Legacy, DCTM Month; DCTM Year
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_lawsuit_s,DCTM moc_lawsuit,DCTM Legacy Document,Documentum Legacy moc_lawsuit_s document,DCTM Legacy, DCTM Case Name; DCTM Case Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_leases_s,DCTM moc_leases,DCTM Legacy Document,Documentum Legacy moc_leases_s document,DCTM Legacy, DCTM Lease Number; DCTM Property Name; DCTM Lessor
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_loopfinan_s,DCTM moc_loopfinan,DCTM Legacy Document,Documentum Legacy moc_loopfinan_s document,DCTM Legacy, DCTM Year
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mclanedft_s,DCTM moc_mclanedft,DCTM Legacy Document,Documentum Legacy moc_mclanedft_s document,DCTM Legacy, DCTM Check Number; DCTM Invoice Date; DCTM Draft Date
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mmspayable_s,DCTM moc_mmspayable,DCTM Legacy Document,Documentum Legacy moc_mmspayable_s document,DCTM Legacy, DCTM Field Number; DCTM Field Name
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mocbkstmt_s,DCTM moc_mocbkstmt,DCTM Legacy Document,Documentum Legacy moc_mocbkstmt_s document,DCTM Legacy, DCTM Bank Name; DCTM Account Name; DCTM Account Number; DCTM Month; DCTM Year
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_moclstmts_s,DCTM moc_moclstmts,DCTM Legacy Document,Documentum Legacy moc_moclstmts_s document,DCTM Legacy, DCTM Year; DCTM Month
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mp16013c_s,DCTM moc_mp16013c,DCTM Legacy Document,Documentum Legacy moc_mp16013c_s document,DCTM Legacy, DCTM Ship Date
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mp18016_s,DCTM moc_mp18016,DCTM Legacy Document,Documentum Legacy moc_mp18016_s document,DCTM Legacy, DCTM spldat; DCTM Invoice Number; DCTM Store Number; DCTM Invoice Date
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mp18051_s,DCTM moc_mp18051,DCTM Legacy Document,Documentum Legacy moc_mp18051_s document,DCTM Legacy, DCTM Invoice Number; DCTM Store Number; DCTM Invoice Date
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mp18066a_s,DCTM moc_mp18066a,DCTM Legacy Document,Documentum Legacy moc_mp18066a_s document,DCTM Legacy, DCTM Invoice Number; DCTM Store Number; DCTM Invoice Date
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mp18066c_s,DCTM moc_mp18066c,DCTM Legacy Document,Documentum Legacy moc_mp18066c_s document,DCTM Legacy, DCTM Invoice Number; DCTM Store Number; DCTM Invoice Date
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mp18066u_s,DCTM moc_mp18066u,DCTM Legacy Document,Documentum Legacy moc_mp18066u_s document,DCTM Legacy, DCTM Invoice Number; DCTM Store Number; DCTM Invoice Date
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mpa_msrc_s,DCTM moc_mpa_msrc,DCTM Legacy Document,Documentum Legacy moc_mpa_msrc_s document,DCTM Legacy, DCTM Year; DCTM Month
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mpsr404225_s,DCTM moc_mpsr404225,DCTM Legacy Document,Documentum Legacy moc_mpsr404225_s document,DCTM Legacy, DCTM Property Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mtransfer_s,DCTM moc_mtransfer,DCTM Legacy Document,Documentum Legacy moc_mtransfer_s document,DCTM Legacy, DCTM AFE From; DCTM AFE To 1; DCTM AFE To 2; DCTM mtnumber
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_murphy_bol_s,DCTM moc_murphy_bol,DCTM Legacy Document,Documentum Legacy moc_murphy_bol_s document,DCTM Legacy, DCTM BOL; DCTM Date
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw18066_s,DCTM moc_mw18066,DCTM Legacy Document,Documentum Legacy moc_mw18066_s document,DCTM Legacy, DCTM Company Id; DCTM Invoice Number; DCTM Invoice Date; DCTM Vendor Number; DCTM Store Number
