WebUrl,ID,FieldType,Name,StaticName,DisplayName,Description,Group,EnforceUniqueValues,Hidden,Required,Sealed,ShowInDisplayForm,ShowInEditForm,ShowInNewForm,ShowInListSettings,Default,TermSet,Choices
http://cthub.murphyoilcorp.com,{463FBAFE-8051-42F4-826C-7ACBAF21D868},Text,ERPLink_x0020_Profit_x0020_Center,ERPLink_x0020_Profit_x0020_Center,Profit Center,PRCTR,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{281BB5C0-F154-4973-8727-C5A5E6E63189},Text,ERPLink_x0020_Cost_x0020_Object,ERPLink_x0020_Cost_x0020_Object,Cost Object,KSTRG,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{86AB62F7-93CB-483B-9913-244485E90B26},Text,ERPLink_x0020_Payroll_x0020_Type,ERPLink_x0020_Payroll_x0020_Type,Payroll Type,BTYPE,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{B99E9B13-5BD6-4390-AA39-6935ABC9AED6},Text,ERPLink_x0020_Functional_x0020_Area,ERPLink_x0020_Functional_x0020_Area,Functional Area,FKBER,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{A4A4FE99-3CE8-4BB2-BFD6-991B406EEE5F},Text,ERPLink_x0020_Purchase_x0020_Requisition_x0020_Number,ERPLink_x0020_Purchase_x0020_Requisition_x0020_Number,Purchase Requisition Number,BANFN,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{42A54001-11D9-4EC2-AB9E-865B08896895},Text,ERPLink_x0020_Purchase_x0020_Requisition_x0020_Document_x0020_Type,ERPLink_x0020_Purchase_x0020_Requisition_x0020_Document_x0020_Type,Purchase Requisition Document Type,BSART,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{536CD2C6-46C4-4B77-8269-66AD5ECA4A70},Text,ERPLink_x0020_Purchasing_x0020_Document_x0020_Category,ERPLink_x0020_Purchasing_x0020_Document_x0020_Category,Purchasing Document Category,BSTYP,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{4BDB94EF-7762-49B4-A30E-8CD4A78EBCF6},Text,ERPLink_x0020_Account_x0020_Number_x0020_of_x0020_Vendor_x0020_or_x0020_Creditor,ERPLink_x0020_Account_x0020_Number_x0020_of_x0020_Vendor_x0020_or_x0020_Creditor,Account Number of Vendor or Creditor,LIFNR,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{7D888B40-2F5D-4C1A-94A3-4BB4AEAA9C76},Text,ERPLink_x0020_Name1,ERPLink_x0020_Name1,Customer Name 1,NAME1,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{D9FA2B30-3F1B-4CDF-9D3B-A45747E940F0},Text,ERPLink_x0020_System_x0020_Status,ERPLink_x0020_System_x0020_Status,System Status,SYS_STATUS,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
